current_calspec,size,modified
109vir_mod_003.fits,18 MB,2023-02-16
109vir_stis_003.fits,213 KB,2023-02-16
10lac_mod_005.fits,458 KB,2023-02-16
10lac_stis_007.fits,613 KB,2023-02-16
16cygb_mod_004.fits,18 MB,2023-09-21
16cygb_stis_004.fits,210 KB,2023-09-20
1732526_mod_005.fits,18 MB,2023-02-16
1732526_stisnic_007.fits,219 KB,2023-02-16
1740346_stisnic_005.fits,219 KB,2023-02-16
1743045_mod_005.fits,26 MB,2022-10-26
1743045_stisnic_007.fits,208 KB,2022-10-26
1757132_mod_005.fits,18 MB,2023-02-16
1757132_stiswfc_004.fits,230 KB,2023-02-16
1802271_mod_005.fits,18 MB,2023-02-16
1802271_stiswfcnic_004.fits,222 KB,2023-02-16
1805292_mod_004.fits,18 MB,2023-02-16
1805292_stisnic_006.fits,219 KB,2023-02-16
1808347_mod_005.fits,18 MB,2023-02-16
1808347_stiswfc_004.fits,230 KB,2023-02-16
1812095_mod_004.fits,18 MB,2023-02-16
1812095_stisnic_006.fits,219 KB,2023-02-16
1812524_nic_005.fits,25 KB,2020-07-16
18sco_mod_005.fits,18 MB,2023-09-21
18sco_stis_005.fits,210 KB,2023-09-20
2m003618_stiswfcnic_006.fits,56 KB,2023-02-16
2m055914_stiswfcnic_005.fits,59 KB,2023-02-16
WDcovar_002.fits,1 MB,2020-07-16
agk_81d266_stisnic_007.fits,123 KB,2020-07-16
alpha_lyr_mod_004.fits,132 KB,2020-07-16
alpha_lyr_stis_011.fits,281 KB,2022-10-26
bd02d3375_mod_003.fits,18 MB,2023-02-16
bd02d3375_stis_006.fits,210 KB,2023-02-16
bd11d3759_stis_003.fits,70 KB,2022-10-26
bd21d0607_mod_003.fits,18 MB,2023-02-16
bd21d0607_stis_006.fits,210 KB,2023-02-16
bd26d2606_mod_003.fits,18 MB,2023-02-16
bd26d2606_stis_006.fits,210 KB,2023-02-16
bd29d2091_mod_003.fits,18 MB,2023-02-16
bd29d2091_stis_006.fits,210 KB,2023-02-16
bd54d1216_mod_002.fits,26 MB,2020-07-16
bd54d1216_stis_005.fits,196 KB,2020-07-16
bd60d1753_mod_005.fits,18 MB,2023-02-16
bd60d1753_stiswfc_004.fits,233 KB,2023-02-17
bd_17d4708_stisnic_007.fits,104 KB,2020-07-16
bd_28d4211_stis_005.fits,123 KB,2020-07-16
bd_75d325_stis_006.fits,109 KB,2022-10-26
c26202_mod_006.fits,18 MB,2023-02-16
c26202_stiswfcnic_005.fits,171 KB,2023-02-16
delumi_mod_004.fits,18 MB,2023-02-16
delumi_stis_004.fits,213 KB,2023-02-16
eta1dor_mod_004.fits,18 MB,2023-02-16
eta1dor_stis_004.fits,213 KB,2023-02-16
etauma_mod_004.fits,458 KB,2022-10-26
etauma_stis_007.fits,615 KB,2022-10-26
feige110_stisnic_008.fits,118 KB,2020-07-16
feige34_stis_006.fits,109 KB,2020-07-16
g191b2b_mod_012.fits,3 MB,2023-02-13
g191b2b_stisfuse_001.fits,5 MB,2020-07-16
g191b2b_stiswfcnic_004.fits,497 KB,2023-02-16
gd153_mod_012.fits,2 MB,2023-02-13
gd153_stiswfcnic_004.fits,2 MB,2023-02-16
gd71_mod_012.fits,2 MB,2023-02-13
gd71_stiswfcnic_004.fits,2 MB,2023-02-16
gj7541a_mod_001.fits,123 KB,2020-07-16
gj7541a_stis_004.fits,239 KB,2020-07-16
grw_70d5824_mod_001.fits,472 KB,2020-07-16
grw_70d5824_stiswfcnic_003.fits,517 KB,2021-03-03
hd009051_mod_004.fits,18 MB,2023-02-16
hd009051_stis_007.fits,210 KB,2023-02-16
hd031128_mod_003.fits,18 MB,2023-02-16
hd031128_stis_006.fits,210 KB,2023-02-16
hd074000_mod_003.fits,18 MB,2023-02-16
hd074000_stis_006.fits,210 KB,2023-02-16
hd101452_mod_003.fits,18 MB,2023-02-16
hd101452_stis_003.fits,210 KB,2023-02-16
hd106252_mod_006.fits,18 MB,2023-09-21
hd106252_stis_008.fits,210 KB,2023-09-20